,Word,POS,Lemma,Synonyms,Antonyms,Example,definition
187,picked,Verb,nibble,"['nibble', 'pick', 'piece']",[],"['He pieced at the sandwich all morning', 'She never eats a full meal--she just nibbles']",eat intermittently; take small bites of
188,crowed,Verb,gloat,"['gloat', 'triumph', 'crow']",[],[],dwell on with satisfaction
189,crowed,Verb,crow,['crow'],[],['She crowed with joy'],express pleasure verbally
190,crowed,Verb,crow,['crow'],[],['The cocks crowed all morning'],utter shrill sounds
191,old,Noun,old,['old'],[],[],past times (especially in the phrase `in days of old')
192,old,Adjective,old,['old'],['young'],"['his mother is very old', 'a ripe old age', 'how old are you?']",(used especially of persons) having lived for a relatively long time or attained a specific age
193,old,Adjective,old,['old'],['new'],"['old tradition', 'old house', 'old wine', 'old country', 'old friendships', 'old money']",of long duration; not new
194,old,Adjective Satellite,old,['old'],[],"['good old boy', 'same old story']",(used for emphasis) very familiar
195,old,Adjective Satellite,old,"['old', 'older']",[],"['an old offender', 'the older soldiers']",skilled through long experience
196,old,Adjective Satellite,erstwhile,"['erstwhile', 'former', 'old', 'onetime', 'one-time', 'quondam', 'sometime']",[],"['erstwhile friend', 'our former glory', 'the once capital of the state', 'her quondam lover']",belonging to some prior time
197,old,Adjective Satellite,honest-to-god,"['honest-to-god', 'honest-to-goodness', 'old', 'sure-enough']",[],"['a real honest-to-god live cowboy', 'had us a high old time', 'went upriver to look at a sure-enough fish wheel']",(used informally especially for emphasis)
198,old,Adjective Satellite,Old,['Old'],[],"['Old English is also called Anglo Saxon', 'Old High German is High German from the middle of the 9th to the end of the 11th century']",of a very early stage in development
199,old,Adjective Satellite,previous,"['previous', 'old']",[],"['the previous owner', 'my old house was larger']",just preceding something else in time or order
200,couple,Noun,couple,"['couple', 'twosome', 'duo', 'duet']",[],"['the engaged couple', 'an inseparable twosome']",a pair who associate with one another
201,couple,Noun,couple,"['couple', 'mates', 'match']",[],['a married couple from Chicago'],a pair of people who live together
202,couple,Noun,couple,['couple'],[],"[""he's coming for a couple of days""]",a small indefinite number
203,couple,Noun,couple,"['couple', 'pair', 'twosome', 'twain', 'brace', 'span', 'yoke', 'couplet', 'distich', 'duo', 'duet', 'dyad', 'duad']",[],[],two items of the same kind
204,couple,Noun,couple,['couple'],[],[],(physics) something joined by two equal and opposite forces that act along parallel lines
205,couple,Verb,match,"['match', 'mate', 'couple', 'pair', 'twin']",[],"['This fact is coupled to the other one', 'Matchmaker, can you match my daughter with a nice young man?', 'The student was paired with a partner for collaboration on the project']","bring two objects, ideas, or people together"
206,couple,Verb,couple,"['couple', 'couple_on', 'couple_up']",['uncouple'],['can we couple these proposals?'],link together
207,couple,Verb,pair,"['pair', 'pair_off', 'partner_off', 'couple']",[],['The two old friends paired off'],form a pair or pairs
208,couple,Verb,copulate,"['copulate', 'mate', 'pair', 'couple']",[],['Birds mate in the Spring'],engage in sexual intercourse
209,corner,Noun,corner,['corner'],[],"['he tripled to the rightfield corner', 'the southeastern corner of the Mediterranean']",a place off to the side of an area
210,corner,Noun,corner,['corner'],[],['the corners of a rectangle'],the point where two lines meet or intersect
211,corner,Noun,corner,"['corner', 'nook']",[],['a piano was in one corner of the room'],an interior angle formed by two meeting walls
212,corner,Noun,corner,"['corner', 'street_corner', 'turning_point']",[],['standing on the corner watching all the girls go by'],the intersection of two streets
213,corner,Noun,corner,['corner'],[],['the corners of a cube'],the point where three areas or surfaces meet or intersect
214,corner,Noun,recess,"['recess', 'recession', 'niche', 'corner']",[],[],a small concavity
215,corner,Noun,corner,['corner'],[],['a corner on the silver market'],a temporary monopoly on a kind of commercial trade
216,corner,Noun,corner,"['corner', 'box']",[],['his lying got him into a tight corner'],a predicament from which a skillful or graceful escape is impossible
217,corner,Noun,corner,['corner'],[],['he knocked off the corners'],a projecting part where two sides or edges meet
218,corner,Noun,corner,['corner'],[],['in many corners of the world they still practice slavery'],a remote area
219,corner,Noun,corner,"['corner', 'quoin']",[],[],(architecture) solid exterior angle of a building; especially one formed by a cornerstone
